m1,m2,m3,m4,m5,m6
0.3968447,8.71,-4.476044,0.0011111110000000001,-0.008888889,0.00413665
0.48523409999999995,8.725234,-4.52,-2.019376e-05,0.006666666999999999,0.007777778000000001
0.46053590000000005,8.709464,-4.48,0.0018147970000000002,0.004524671,0.00298149
0.46382799999999996,8.708437,-4.47,-0.00046645629999999996,0.005089099000000001,0.0028668770000000003
0.4545128,8.715487,-4.489026,0.002386722,0.0044444440000000005,0.002695528
0.4652406,8.730481,-4.5,0.002994818,0.0034780270000000003,0.0004832087
0.4765687,8.71,-4.486716,0.0001694034,-0.003418035,0.0005979064
0.43,8.682292,-4.510833,-0.0006237605000000001,-0.0004873507,0.0009747013
0.4618295,8.73183,-4.4781699999999995,-0.0005161482,-0.00129037,-0.001369185
0.46395990000000004,8.70396,-4.480201,-0.0004134885,-0.0009817566999999999,0.000826977
0.45,8.717614,-4.491421,0.0,-0.0008423126,0.0016487079999999998
0.4608682,8.719132,-4.4954339999999995,0.001935962,-0.0036195940000000003,-0.0014983029999999999
0.42,8.7,-4.473526000000001,0.0003389857,-0.001497174,-0.0007250484
0.5046885,8.711246000000001,-4.485311,0.0013193010000000002,0.0024304120000000003,0.0006596505000000001
0.47,8.696765,-4.443677,0.0,-0.001494339,-0.00446373
0.46,8.713714,-4.48,0.00351373,-0.0006806086,-0.0018819179999999998
0.46344759999999996,8.72,-4.493448,-0.004221853,0.0004442598,0.002999908
0.5028495,8.715717,-4.458566,-0.0016867779999999999,0.001151334,-0.000535444
0.4852705,8.720541,-4.47,-0.003361766,-0.002193789,-2.843277e-05
0.4765621,8.703438,-4.489686,0.001843971,0.0011111110000000001,-0.00073286
0.513545,8.7,-4.456455,-0.001433281,0.006199895,0.002938863
0.4443491,8.704349,-4.474349,0.0016763770000000002,0.0005652655000000001,0.0016763770000000002
0.5158937,8.704106,-4.498213,-0.0027723540000000003,0.003333333,0.0005573634
0.4652415,8.71,-4.48,-6.588486999999999e-05,0.0044444440000000005,-0.0007627024
0.49584079999999997,8.7,-4.47,0.001478983,-0.003333333,-1.4993639999999998e-06
0.43434269999999997,8.715657,-4.486972,0.0003462083,-0.001857892,-0.0022222220000000003
0.4757664000000001,8.71,-4.5,-0.0007697000999999999,0.001089392,0.001089392
0.48,8.695501,-4.4920029999999995,-6.021557e-05,0.0,0.0011111110000000001
0.48209840000000004,8.71,-4.471851999999999,-0.0022222220000000003,-0.0008672907000000001,0.001354932
0.4613214,8.714339,-4.451321,-0.0036882720000000003,0.0011111110000000001,0.0007561727000000001
0.48953900000000006,8.71477,-4.5,-8.692369e-05,-0.0011111110000000001,0.001452507
0.47469279999999997,8.715102,-4.454898,-0.001777063,-0.005776348000000001,0.0007781352000000001
0.4851144,8.705114,-4.509771,0.002695,0.003486945,0.001749444
0.48526220000000003,8.714738,-4.490524,0.0009467888,0.001098063,-0.0003155963
0.4801298,8.70987,-4.465065,0.0035208970000000003,0.0012482160000000001,-0.0009740058000000001
0.4699371,8.714969,-4.465094000000001,0.0024296020000000003,0.001440734,0.0012333539999999999
0.4801222,8.71,-4.475061,-0.003333333,-0.005241904,0.0001701572
0.47,8.726074,-4.4821480000000005,0.0001528081,-0.0003194343,-0.001430545
0.4427665,8.72,-4.5,-0.00012221780000000001,-0.001233329,0.0008027789
0.4597629,8.71,-4.484881,0.0,-0.003002608,0.0022222220000000003
0.44536899999999996,8.695369,-4.480738,-0.002089418,-0.003200529,-0.0003109788
0.44488409999999995,8.704884,-4.479536,0.003541687,0.001319465,0.0
0.4696813,8.739681,-4.4645220000000005,0.0005815065,-0.001692618,0.0005815065
0.47465740000000006,8.71,-4.47863,-0.001934033,-0.001069467,0.001934033
0.43977429999999995,8.695339,-4.480226,-0.001401968,-0.003042477,-0.0016928239999999999
0.48,8.721196,-4.465598,-0.004438997,-0.001663943,0.0008319714
0.46637290000000003,8.705458,-4.4681690000000005,-0.0011111110000000001,-0.0009247036999999999,0.0008028765
0.4945594,8.71,-4.459119,-0.0008269611,0.00028415,0.0031912579999999998
0.44483900000000004,8.72,-4.479678,-0.0005595033,0.003609137,0.0008353072
0.48,8.719869000000001,-4.484673,-0.0008344928,0.0019456039999999999,0.0022222220000000003
0.48,8.714748,-4.478991000000001,0.0,-0.0056111419999999995,0.001374992
0.44019140000000007,8.734904,-4.49,0.0004183058,-0.000490209,-0.002568625
0.4713178,8.69,-4.49,-0.0005875181,0.0,-0.0011111110000000001
0.4358803,8.72412,-4.458239,-0.0019363429999999999,-0.005523151,-0.0022222220000000003
0.47430209999999995,8.707094,-4.475698,-0.002819463,-0.0002569353,-0.0005972405
0.4396823,8.71,-4.48,0.00138342,-0.00138342,-0.0022222220000000003
0.48,8.725076,-4.4800510000000004,-0.0016081160000000001,0.0009940104,0.0003070529
0.44553869999999995,8.715539,-4.474461,-0.003333333,-0.00025622240000000004,-0.0017097770000000002
0.4792339,8.72,-4.530766000000001,0.0,0.003607714,0.001385492
0.45945740000000007,8.714729,-4.484729,0.0004947661,0.0016058770000000001,0.001727456
0.4762732,8.697453999999999,-4.504907,0.0006637853,0.0030014409999999997,-0.0007792185000000001
0.43476309999999996,8.705237,-4.495237,0.0002745125,-0.004705895999999999,-0.001385624
0.48192650000000004,8.698074,-4.474037,-0.00022974950000000002,0.0015329739999999999,0.001340861
0.46270479999999997,8.71,-4.48,-0.001585738,-0.002858706,-0.003570647
0.4644469,8.73,-4.471106,0.00019326009999999998,-0.001340574,-0.001763297
0.4757175,8.702848,-4.504283,0.002225739,0.00333685,0.0011111110000000001
0.4644637,8.71,-4.453391000000001,0.0013302029999999999,-0.00044600959999999997,-0.0006651014999999999
0.49004090000000006,8.715061,-4.490082,-0.002873518,0.0001341669,0.00032564810000000003
0.4554334,8.698266,-4.469133,-0.0004427308,-0.0044444440000000005,0.0006655242
0.46,8.715722,-4.484278,0.0006614988,-0.0008863049000000001,-0.0008863049000000001
0.46525839999999996,8.704742,-4.465258,-0.0011111110000000001,0.001976977,-0.001356357
0.48,8.718321000000001,-4.48,0.001612643,0.0001080475,0.0005015318
0.44169659999999994,8.724910000000001,-4.5183029999999995,-0.0005205981,-0.002362052,0.000590513
0.4516174,8.704852,-4.464852,0.0022222220000000003,0.001618024,-0.002124937
0.4567004,8.7067,-4.48,8.889704e-05,-0.00013333100000000001,0.001244442
0.44586000000000003,8.73707,-4.4614650000000005,-0.002132277,-0.003333333,-0.0002001761
0.4706773,8.719323,-4.498645,0.003893963,0.005005074,0.0022222220000000003
0.444208,8.71,-4.484208,-0.0022222220000000003,-0.002021295,0.0
0.4680469,8.72793,-4.460116999999999,-0.003525958,-0.0003763218,0.0003673946
0.4437155,8.708142,-4.48,-0.002035755,-0.0022222220000000003,0.002035755
0.4963878,8.71,-4.52,-0.0022222220000000003,0.003152049,0.001020469
0.44182780000000005,8.731828,-4.4881720000000005,0.0011111110000000001,-0.002040924,0.0
0.49399440000000006,8.706006,-4.483994,0.00596648,-0.001461205,0.0001750468
0.4556193,8.685619,-4.491239,-0.0006956830999999999,0.00263765,0.0008792167
0.4844732,8.71,-4.478946,0.002470908,-0.0007460580000000001,-0.0011111110000000001
0.4567733,8.69,-4.500319999999999,-0.001267335,0.0006424404,0.0009548875
0.4837366,8.706263,-4.45121,-0.001274107,-0.002059226,-0.0009481149000000001
0.49290159999999994,8.71,-4.4870980000000005,0.0008160673,0.0001475219,0.0022222220000000003
0.4503152,8.716562,-4.486877,-0.00369325,-0.003183094,-0.000150239
